Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
5402,UDP,10.15.13.179,10.0.2.4,54793,31660,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:37 PM:135,11/8/2022 12:15:37 PM:136,00:00.0
5403,UDP,10.15.13.179,10.0.2.4,54793,31661,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:137,11/8/2022 12:17:16 PM:500,01:39.4
5404,UDP,10.15.13.179,10.0.2.4,54793,31662,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:138,11/8/2022 12:17:16 PM:501,01:39.4
5405,UDP,10.15.13.179,10.0.2.4,54793,31663,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:140,11/8/2022 12:17:16 PM:503,01:39.4
5406,UDP,10.15.13.179,10.0.2.4,54793,31664,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:140,11/8/2022 12:17:16 PM:504,01:39.4
5407,UDP,10.15.13.179,10.0.2.4,54793,31666,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:142,11/8/2022 12:17:16 PM:510,01:39.4
5408,UDP,10.15.13.179,10.0.2.4,54793,31667,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:142,11/8/2022 12:15:37 PM:142,00:00.0
5409,UDP,10.15.13.179,10.0.2.4,54793,31669,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:143,11/8/2022 12:17:16 PM:514,01:39.4
5410,UDP,10.15.13.179,10.0.2.4,54793,31670,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:144,11/8/2022 12:17:16 PM:514,01:39.4
5411,UDP,10.15.13.179,10.0.2.4,54793,31671,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:144,11/8/2022 12:17:16 PM:515,01:39.4
5412,UDP,10.15.13.179,10.0.2.4,54793,31672,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:146,11/8/2022 12:17:16 PM:516,01:39.4
5413,UDP,10.15.13.179,10.0.2.4,54793,31673,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:148,11/8/2022 12:17:16 PM:518,01:39.4
5414,UDP,10.15.13.179,10.0.2.4,54793,31674,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:149,11/8/2022 12:17:16 PM:523,01:39.4
5415,UDP,10.15.13.179,10.0.2.4,54793,31675,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:150,11/8/2022 12:17:16 PM:524,01:39.4
5416,UDP,10.15.13.179,10.0.2.4,54793,31676,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:154,11/8/2022 12:17:16 PM:527,01:39.4
5417,UDP,10.15.13.179,10.0.2.4,54793,31677,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:37 PM:155,11/8/2022 12:15:37 PM:156,00:00.0
5418,UDP,10.15.13.179,10.0.2.4,54793,31678,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:158,11/8/2022 12:17:16 PM:528,01:39.4
5419,UDP,10.15.13.179,10.0.2.4,54793,31679,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:158,11/8/2022 12:15:37 PM:158,00:00.0
5420,UDP,10.15.13.179,10.0.2.4,54793,31680,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:159,11/8/2022 12:17:16 PM:531,01:39.4
5421,UDP,10.15.13.179,10.0.2.4,54793,31681,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:160,11/8/2022 12:17:16 PM:533,01:39.4
