Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
566,TCP,10.0.2.15,142.250.196.35,50592,443,,maa03s45-in-f3.1e100.net,https,15,"5,884 Bytes","7,041 Bytes",92.7 KB/Sec,10/25/2022 9:34:24 AM:307,10/25/2022 9:34:28 AM:610,00:04.3
567,UDP,10.0.2.15,192.168.0.1,55227,53,,,domain,2,82 Bytes,199 Bytes,,10/25/2022 9:34:25 AM:026,10/25/2022 9:34:25 AM:053,00:00.0
568,UDP,10.0.2.15,142.250.196.35,61855,443,,maa03s45-in-f3.1e100.net,https,15,"9,100 Bytes","10,798 Bytes",,10/25/2022 9:34:25 AM:057,10/25/2022 9:34:25 AM:370,00:00.3
569,TCP,10.0.2.15,209.197.3.8,50593,80,,vip0x008.map2.ssl.hwcdn.net,http,6,795 Bytes,"1,497 Bytes",48.5 KB/Sec,10/25/2022 9:34:30 AM:347,10/25/2022 9:34:31 AM:115,00:00.8
570,TCP,10.0.2.15,13.107.4.50,50594,80,,,http,"1,814","1,987,963 Bytes","2,061,004 Bytes",3273.8 KB/Sec,10/25/2022 9:34:31 AM:586,10/25/2022 9:36:40 AM:632,02:09.0
571,TCP,10.0.2.15,209.197.3.8,50595,80,,vip0x008.map2.ssl.hwcdn.net,http,"1,058","1,049,399 Bytes","1,092,193 Bytes",3284.6 KB/Sec,10/25/2022 9:34:31 AM:692,10/25/2022 9:35:02 AM:484,00:30.8
572,UDP,10.0.2.15,192.168.0.1,53005,53,,,domain,4,472 Bytes,666 Bytes,28.8 KB/Sec,10/25/2022 9:34:32 AM:873,10/25/2022 9:34:34 AM:669,00:01.8
573,TCP,10.0.2.15,51.105.71.137,50596,443,,,https,23,"9,421 Bytes","10,898 Bytes",118.0 KB/Sec,10/25/2022 9:34:35 AM:490,10/25/2022 9:34:44 AM:007,00:08.5
574,TCP,10.0.2.15,209.197.3.8,50597,80,,vip0x008.map2.ssl.hwcdn.net,http,779,"831,862 Bytes","863,496 Bytes",2891.0 KB/Sec,10/25/2022 9:34:35 AM:530,10/25/2022 9:35:02 AM:484,00:27.0
575,TCP,10.0.2.15,142.250.195.98,50598,443,,maa03s39-in-f2.1e100.net,https,14,"6,128 Bytes","7,245 Bytes",,10/25/2022 9:34:44 AM:034,10/25/2022 9:34:44 AM:690,00:00.7
576,TCP,10.0.2.15,142.250.195.98,50599,443,,maa03s39-in-f2.1e100.net,https,30,"8,028 Bytes","9,785 Bytes",124.4 KB/Sec,10/25/2022 9:34:44 AM:037,10/25/2022 9:34:48 AM:677,00:04.6
